Region,Sector,Shelf,Reef_name,Bench year,bench cover,highest HCC pre2010,Disturbance No.,prior year,prior cover,Disturb year,Dist Decade,Disturb cover,Disturbance ,Disturbance2,Dist1,Dist2,Dist3,Disturb time,Disturbance interval,Disturbance interval realism,recovery year,recovery cover,year highest hcc,highest hcc,recovery complete,ratcheting down,consecutive dist
Central,CA,M,16017S,1994,0.401470591,yes,1,1994,0.401470591,2003,01 to 10,0.158538414,COTS,Cumulative,COTS,,,9,16,16,2010,0.32182789,1994,0.406730769,y,y,y
Central,CA,M,16017S,1994,0.401470591,yes,2,2010,0.32182789,2019,11 to 20,0.156305827,COTS,Cumulative,COTS,,,9,,2,NA,NA,,,n,,y
Central,WH,M,19131S,1996,0.327243221,yes,1,1996,0.327243221,1999,91 to 00,0.130834961,Cyclone,Cumulative,Cyclone,,,3,4,4,2002,0.180038053,1996,0.327243221,y,y,y
Central,WH,M,19131S,1996,0.327243221,yes,2,2002,0.180038053,2003,01 to 10,0.104723315,Bleaching,Bleaching,Bleaching,,,1,16,18,2017,0.24946948,,,y,,y
Central,WH,M,19131S,1996,0.327243221,yes,3,2017,0.24946948,2019,11 to 20,0.171930166,Cyclone,Cyclone,Cyclone,,,2,,2,2022,0.331821493,,,,,
Central,WH,M,19138S,1991,0.285347384,no,1,1991,0.285347384,1998,91 to 00,0.161475281,Cyclone,Cumulative,Cyclone,,,7,5,7,2002,0.222950871,2017,0.367539116,y,n,y
Central,WH,M,19138S,1991,0.285347384,no,2,2002,0.222950871,2003,01 to 10,0.151336709,Bleaching,Cumulative,Bleaching,,,1,8,7,2007,0.283706116,,,y,,y
Central,WH,M,19138S,1991,0.285347384,no,3,2007,0.283706116,2011,11 to 20,0.196663115,Cyclone,Cumulative,Cyclone,,,4,8,8,2017,0.367830565,,,y,,y
Central,WH,M,19138S,1991,0.285347384,no,4,2017,0.367830565,2019,11 to 20,0.183048412,Cyclone,Cumulative,Cyclone,,,2,,2,2022,0.236645259,,,n,,y
Central,WH,M,20104S,2004,0.322236141,yes,1,1989,0.218532485,1990,86 to 90,0.08800365,COTS,COTS,COTS,,,1,21,21,2004,0.322236141,2004,0.322236141,y,n,y
Central,WH,M,20104S,2004,0.322236141,yes,2,2004,0.322236141,2011,11 to 20,0.101179545,Multiple,Cumulative,Cyclone,COTS,Unknown,7,,10,2017,0.308303103,,,y,,y
Central,CA,O,AGINCOURT REEFS (NO 1),2001,0.344189952,yes,1,1997,0.300403857,1999,91 to 00,0.173935941,Unknown,Cumulative,Unknown,,,2,4,4,2001,0.344189952,2001,0.344189952,y,n,y
Central,CA,O,AGINCOURT REEFS (NO 1),2001,0.344189952,yes,2,2001,0.344189952,2003,01 to 10,0.176996078,Unknown,Cumulative,Unknown,,,2,10,10,2005,0.313275015,,,y,,y
Central,CA,O,AGINCOURT REEFS (NO 1),2001,0.344189952,yes,3,2005,0.313275015,2013,11 to 20,0.108164387,Multiple,Cumulative,Cyclone,bleaching,,8,,8,2021,0.317176884,,,n,,y
Central,IN,M,BEAVER REEF,1997,0.315679704,yes,1,1997,0.315679704,2003,01 to 10,0.054790269,COTS,COTS,COTS,,,6,,18,2015,0.162249439,1997,0.315679704,y,y,n
Central,CU,M,BOWDEN REEF,2003,0.210465951,yes,1,1986,0.2190518,1991,91 to 00,0.124875191,COTS,COTS,COTS,,,5,20,20,1999,0.210465951,2003,0.210465951,y,n,y
Central,CU,M,BOWDEN REEF,2003,0.210227,yes,2,1999,0.210465951,2011,11 to 20,0.145836202,Multiple,Cumulative,Multiple,,,12,,10,2021,0.296715344,,,y,,y
Central,TO,O,CHICKEN REEF,1986,0.317016959,yes,1,1986,0.317016959,1997,91 to 00,0.153637244,Multiple,Cumulative,Cyclone,COTS,Unknown,11,15,15,1998,0.253183932,1986,0.315026976,y,y,y
Central,TO,O,CHICKEN REEF,1986,0.317016959,yes,2,1998,0.253183932,2012,11 to 20,0.072890803,Multiple,Cumulative,Cyclone,COTS,Unknown,14,,9,2022,0.343447032,,,n,,y
Central,CA,M,CHINAMAN REEF(16024),1997,0.3625,yes,1,1989,0.274404762,1991,91 to 00,0.159302326,Unknown,Cumulative,Unknown,,,2,12,12,1997,0.3625,1997,0.3625,y,y,y
Central,CA,M,CHINAMAN REEF(16024),1997,0.3625,yes,2,1997,0.3625,2003,01 to 10,0.104375,COTS,Cumulative,COTS,,,6,16,16,2010,0.251162791,,,y,,y
Central,CA,M,CHINAMAN REEF(16024),1997,0.3625,yes,3,2010,0.251162791,2019,11 to 20,0.107432432,Multiple,Cumulative,COTS,bleaching,,9,,2,NA,NA,,,n,,y
Central,TO,M,DAVIES REEF,1998,0.328533495,yes,1,1987,0.290152782,1991,91 to 00,0.161875364,COTS,Cumulative,COTS,,,4,22,21,1998,0.328533495,1998,0.328667015,y,n,y
Central,TO,M,DAVIES REEF,1998,0.328533495,yes,2,1998,0.328533495,2013,11 to 20,0.112697206,Multiple,Cumulative,Cyclone,COTS,Unknown,15,,8,2022,0.529127857,,,n,,y
Central,IN,M,ELLISON REEF,1997,0.225625,yes,1,1986,0.15813253,1987,86 to 90,0.05952381,COTS,COTS,COTS,,,1,16,16,1997,0.225625,1997,0.225625,y,y,y
Central,IN,M,ELLISON REEF,1997,0.225625,yes,2,1997,0.225625,2003,01 to 10,0.023943662,COTS,Cumulative,COTS,,,6,,18,2015,0.175528169,,,y,,y
Central,CA,O,EVENING REEF,1988,0.34894661,yes,1,1988,0.34894661,1989,86 to 90,0.248366935,Unknown,Unknown,,,,1,,,1995,0.310381973,1988,0.34894661,y,,
Central,CA,O,EVENING REEF,1988,0.34894661,yes,1,1995,0.310381973,1998,91 to 00,0.206235846,COTS,Cumulative,COTS,,,3,22,17,2001,0.268862021,,,y,n,y
Central,CA,O,EVENING REEF,1988,0.34894661,yes,2,2001,0.268862021,2020,11 to 20,0.110934619,COTS,Cumulative,COTS,,,19,,1,2022,0.278995614,,,n,,y
Central,IN,M,FEATHER REEF,1994,0.23824194,yes,1,1994,0.23824194,2003,01 to 10,0.07100257,Multiple,Cumulative,COTS,Cyclone,Unknown,9,16,16,2017,0.21283783,1994,0.23824194,y,n,y
Central,IN,M,FEATHER REEF,1994,0.23824194,yes,2,2017,0.21283783,2019,11 to 20,0.09311891,Bleaching,Cumulative,Bleaching,,,2,,2,2021,0.15197706,,,n,,y
Central,IN,M,FLORA REEF,1996,0.2,yes,1,1996,0.2,2000,91 to 00,0.038235294,COTS,Cumulative,COTS,,,4,,21,2017,0.1545,1996,0.2,n,n,n
Central,TO,M,FORE AND AFT REEF,2002,0.181054688,no,1,2002,0.181054688,2006,01 to 10,0.026630435,Multiple,Cumulative,COTS,Cyclone,,4,,15,2018,0.25990566,2018,0.25990566,y,n,n
Central,TO,O,FORK REEF,2008,0.206034483,no,1,2008,0.206034483,2012,11 to 20,0.044852941,Cyclone,Cumulative,Cyclone,,,4,,9,2020,0.358108108,2020,0.358108108,n,n,n
Central,IN,O,GILBEY REEF,1996,0.319414894,yes,1,1996,0.319414894,2002,01 to 10,0.151302083,COTS,Cumulative,COTS,,,6,,19,2017,0.266666667,1996,0.319414894,n,n,n
Central,CA,I,GREEN ISLAND REEF,1996,0.132623231,yes,1,1996,0.132623231,2003,01 to 10,0.057245492,COTS,Cumulative,COTS,,,7,16,16,2017,0.123226998,1996,0.13027238,y,n,y
Central,CA,I,GREEN ISLAND REEF,1996,0.132623231,yes,2,2017,0.123226998,2019,11 to 20,0.062108079,Multiple,Cumulative,COTS,,,2,,2,2022,0.162711004,,,n,,y
Central,WH,M,HARDY REEF,1986,0.491962718,yes,1,1986,0.491962718,1989,86 to 90,0.300838291,COTS,Cumulative,COTS,,,3,8,8,1993,0.382867772,1986,0.491962718,y,y,y
Central,WH,M,HARDY REEF,1986,0.491962718,yes,2,1993,0.382867772,1997,91 to 00,0.216017494,Cyclone,Cumulative,Cyclone,,,4,4,4,2000,0.343086478,,,y,,y
Central,WH,M,HARDY REEF,1986,0.491962718,yes,3,2000,0.343086478,2001,01 to 10,0.232216997,Unknown,Unknown,Unknown,,,1,,20,2017,0.410545094,,,y,,y
Central,CA,M,HASTINGS REEF,1990,0.19133756,no,1,1990,0.19133756,1992,91 to 00,0.11930362,Cyclone,Cumulative,Cyclone,,,2,6,6,1995,0.17880882,2016,0.224067164,y,n,y
Central,CA,M,HASTINGS REEF,1990,0.19133756,no,2,1995,0.17880882,1998,91 to 00,0.11444782,Unknown,Cumulative,Unknown,,,3,7,7,2000,0.17889818,,,y,,y
Central,CA,M,HASTINGS REEF,1990,0.19133756,no,3,2000,0.17889818,2005,01 to 10,0.09738975,COTS,Cumulative,COTS,,,5,15,15,2016,0.21777067,,,y,,y
Central,CA,M,HASTINGS REEF,1990,0.19133756,no,4,2016,0.21777067,2020,11 to 20,0.0669027,Multiple,Cumulative,Bleaching,Bleaching,,4,,1,2022,0.173952297,,,n,,y
Central,TO,I,HAVANNAH REEF,1997,0.482954545,yes,1,1997,0.482954545,2002,01 to 10,0.04137931,Multiple,Cumulative,Bleaching,Cyclone,,5,,19,2017,0.271296296,1997,0.482954545,n,y,n
Central,WH,I,HAYMAN ISLAND REEF,1993,0.254513664,yes,1,1993,0.254513664,1995,91 to 00,0.126353413,Unknown,Cumulative,Unknown,Unknown,,2,26,26,2017,0.32277929,1993,0.2545399,y,n,y
Central,WH,I,HAYMAN ISLAND REEF,1993,0.254513664,yes,2,2017,0.32277929,2021,11 to 20,0.11084061,Cyclone,Cumulative,Cyclone,,,4,,0,2022,0.221570871,,,n,,n
Central,TO,M,HELIX REEF,2003,0.398523937,no,1,1986,0.306301017,1987,86 to 90,0.037775039,COTS,COTS,COTS,,,1,25,25,2003,0.398523937,2020,0.4925,y,n,n
Central,TO,M,HELIX REEF,2003,0.398523937,no,2,2003,0.398523937,2012,11 to 20,0.077020275,Multiple,Cumulative,COTS,Cyclone,,9,,9,2020,0.502896551,,,n,,y
Central,WH,O,HYDE REEF,1994,0.373276829,yes,1,1994,0.373276829,1995,91 to 00,0.239451727,Unknown,Cumulative,Unknown,,,1,18,8,2001,0.378626691,1994,0.3718911,y,n,y
Central,WH,O,HYDE REEF,1994,0.373276829,yes,2,2001,0.378626691,2013,01 to 10,0.096190194,Cyclone,Cumulative,Cyclone,,,12,,8,2022,0.595307374,,,y,,y
Central,TO,M,JOHN BREWER REEF,1998,0.301121286,no,1,1998,0.301121286,2004,01 to 10,0.054142038,Multiple,Cumulative,COTS,Unknown,,6,16,12,2016,0.424334053,2016,0.424170613,y,n,y
Central,TO,M,JOHN BREWER REEF,1998,0.301121286,no,2,2016,0.424334053,2020,11 to 20,0.114370444,Multiple,Cumulative,Bleaching,COTS,,4,,1,2022,0.217645432,,,n,,y
Central,TO,O,KNIFE REEF,2002,0.280279198,no,1,2002,0.280279198,2012,11 to 20,0.078788376,Multiple,Cumulative,Bleaching,COTS,Cyclone,10,,9,2022,0.493888079,2016,0.430747126,n,n,n
Central,TO,M,LITTLE KELSO REEF,2002,0.168814415,no,1,2002,0.168814415,2006,01 to 10,0.07521641,Multiple,Cumulative,COTS,Cyclone,,4,14,14,2016,0.371463521,2016,0.371463521,y,n,y
Central,TO,M,LITTLE KELSO REEF,2002,0.168814415,no,2,2016,0.371463521,2020,11 to 20,0.12418766,Multiple,Cumulative,COTS,Bleaching,,4,,1,2021,0.216588634,,,n,,y
Central,CA,I,LOW ISLANDS REEF,1990,0.403895551,no,1,1990,0.403895551,1993,91 to 00,0.271922687,Unknown,Cumulative,Unknown,,,3,9,9,1998,0.352926724,2017,0.4640635,y,n,y
Central,CA,I,LOW ISLANDS REEF,1990,0.403895551,no,2,1998,0.352926724,2002,01 to 10,0.147588189,Multiple,Cumulative,COTS,Cyclone,,4,18,18,2017,0.464390228,,,y,,y
Central,CA,I,LOW ISLANDS REEF,1990,0.403895551,no,3,2017,0.464390228,2020,11 to 20,0.190989597,Multiple,Cumulative,COTS,Bleaching,,3,,1,2022,0.387756726,,,n,,y
Central,CA,M,MACKAY REEF,1993,0.33650511,yes,1,1993,0.33650511,2003,01 to 10,0.147117887,Multiple,Cumulative,COTS,Cyclone,,10,16,4,2013,0.324247171,1993,0.3362665,y,n,y
Central,CA,M,MACKAY REEF,1993,0.33650511,yes,3,2013,0.324247171,2019,11 to 20,0.138966863,Multiple,Cumulative,COTS,Bleaching,,6,,2,2022,0.450929402,,,n,,y
Central,CA,M,MICHAELMAS REEF,1986,0.26938075,yes,1,1986,0.26938075,1991,91 to 00,0.09313653,Unknown,Cumulative,Unknown,,,5,,30,1997,0.15008573,1986,0.26938075,n,y,n
Central,IN,M,MOORE REEF,1990,0.2056206,yes,1,1990,0.2056206,1994,91 to 00,0.1140359,Cyclone,Cumulative,Cyclone,,,4,26,26,1997,0.1653292,1990,0.2056206,y,y,y
Central,IN,M,MOORE REEF,1990,0.2056206,yes,2,1997,0.1653292,2020,11 to 20,0.1048776,Multiple,Cumulative,COTS,Cyclone,Bleaching,23,,1,2021,0.131614,,,n,,y
Central,TO,O,MYRMIDON REEF,1998,0.303880061,yes,1,1988,0.229939686,1990,86 to 90,0.164579369,Cyclone,Cumulative,Cyclone,,,2,4,4,1993,0.268199581,1998,0.303880061,y,y,y
Central,TO,O,MYRMIDON REEF,1998,0.303880061,yes,2,1993,0.268199581,1994,91 to 00,0.201504552,Unknown,Unknown,Unknown,,,1,8,8,1998,0.303880061,,,y,,y
Central,TO,O,MYRMIDON REEF,1998,0.303880061,yes,3,1998,0.303880061,2002,01 to 10,0.208694506,Multiple,Cumulative,Bleaching,Unknown,,4,9,9,2005,0.288370441,,,y,,y
Central,TO,O,MYRMIDON REEF,1998,0.303880061,yes,4,2005,0.288370441,2011,11 to 20,0.079993079,Cyclone,Cumulative,Cyclone,Cyclone,,6,,10,2022,0.455569514,,,y,,y
Central,IN,O,NOGGIN REEF,1986,0.280555556,yes,1,1986,0.280555556,1987,86 to 90,0.120945946,Cyclone,Cyclone,Cyclone,,,1,,34,2002,0.267456897,1986,0.280555556,y,n,n
Central,CA,O,NORMAN REEF,1986,0.5250424,yes,1,1986,0.5250424,1988,86 to 90,0.2742753,Multiple,Cumulative,Cyclone,Bleaching,,2,3,3,1989,0.4347084,1986,0.5250424,y,y,y
Central,CA,O,NORMAN REEF,1986,0.5250424,yes,2,1989,0.434210526,1991,91 to 00,0.144736842,Cyclone,Cumulative,Cyclone,,,2,13,13,1998,0.322413793,,,y,,y
Central,CA,O,NORMAN REEF,1986,0.5250424,yes,3,1998,0.3194158,2004,01 to 10,0.1871692,Cyclone,Cumulative,Cyclone,,,6,,17,2007,0.2144549,,,y,,y
Central,IN,I,NORMANBY-MABEL REEF,1988,0.521052632,yes,1,1986,0.477631579,1987,86 to 90,0.36875,Unknown,Cyclone,Cyclone,,,1,5,5,1988,0.521052632,1988,0.521052632,y,n,y
Central,IN,I,NORMANBY-MABEL REEF,1988,0.521052632,yes,2,1988,0.521052632,1992,91 to 00,0.065,Unknown,Cumulative,Unknown,,,4,10,10,1996,0.176470588,,,y,,y
Central,IN,I,NORMANBY-MABEL REEF,1988,0.521052632,yes,3,1996,0.176470588,2002,01 to 10,0.051388889,Multiple,Cumulative,Unknown,Cyclone,,6,11,11,2005,0.184722222,,,y,,y
Central,IN,I,NORMANBY-MABEL REEF,1988,0.521052632,yes,4,2005,0.184722222,2013,11 to 20,0.08125,Cyclone,Cumulative,Cyclone,,,8,,8,NA,NA,,,n,,y
Central,IN,M,PEART REEF,2010,0.156457515,no,1,1992,0.149131248,2006,01 to 10,0.103034312,Unknown,Cumulative,Unknown,,,14,12,6,2010,0.156457515,2016,0.181114907,y,n,y
Central,IN,M,PEART REEF,2010,0.156457515,no,3,2016,0.181114907,2018,11 to 20,0.071300917,COTS,Cumulative,COTS,,,2,,3,2022,0.120927348,,,n,,y
Central,IN,O,POTTER REEF (NO 1),1995,0.2796875,no,1,1986,0.165942029,1987,86 to 90,0.055978261,Cyclone,Cyclone,Cyclone,,,1,22,22,1995,0.2796875,,,y,n,y
Central,IN,O,POTTER REEF (NO 1),1995,0.2796875,no,2,1995,0.2796875,2009,01 to 10,0.074350649,Multiple,Cumulative,Unknown,COTS,Cyclone,14,,12,2016,0.338871951,2016,0.338871951,n,,y
Central,CA,O,RACHEL CARSON REEF,1989,0.363375,yes,1,1989,0.363375,1991,91 to 00,0.2510254,Cyclone,Cumulative,Cyclone,,,2,29,29,2004,0.3467096,1989,0.363375,y,n,y
Central,CA,O,RACHEL CARSON REEF,1989,0.363375,yes,2,2004,0.3467096,2020,11 to 20,0.1867641,Unknown,Cumulative,Unknown,,,16,,1,2021,0.307448,,,n,,y
Central,WH,O,REBE REEF,2002,0.28822394,no,1,1994,0.27348855,1997,91 to 00,0.169995,Cyclone,Cumulative,Cyclone,,,3,7,7,2002,0.28822394,2021,0.60122653,y,n,y
Central,WH,O,REBE REEF,2002,0.28822394,no,2,2002,0.28822394,2004,01 to 10,0.19675104,Bleaching,Cumulative,Bleaching,,,2,7,7,2005,0.27946959,,,y,,y
Central,WH,O,REBE REEF,2002,0.28822394,no,3,2005,0.27946959,2011,11 to 20,0.08096244,Cyclone,Cumulative,Cyclone,,,6,,10,2021,0.60122653,,,n,,y
Central,TO,M,RIB REEF,1995,0.428876566,no,1,1995,0.428876566,2003,01 to 10,0.092968829,Multiple,Cumulative,Cyclone,COTS,Bleaching,8,8,8,2010,0.232234783,2016,0.498710315,y,n,y
Central,TO,M,RIB REEF,1995,0.428876566,no,2,2010,0.232234783,2011,11 to 20,0.115967404,Cyclone,Cyclone,Cyclone,,,1,9,9,2016,0.498710315,,,y,,y
Central,TO,M,RIB REEF,1995,0.428876566,no,3,2016,0.498710315,2020,11 to 20,0.113387817,Multiple,Cumulative,Bleaching,COTS,,4,,1,2022,0.239621516,,,n,,y
